key,cz
天干地支-0,甲子
天干地支-1,乙丑
天干地支-2,丙寅
天干地支-3,丁卯
天干地支-4,戊辰
天干地支-5,己巳
天干地支-6,庚午
天干地支-7,辛未
天干地支-8,壬申
天干地支-9,癸酉
天干地支-10,甲戌
天干地支-11,乙亥
天干地支-12,丙子
天干地支-13,丁丑
天干地支-14,戊寅
天干地支-15,己卯
天干地支-16,庚辰
天干地支-17,辛巳
天干地支-18,壬午
天干地支-19,癸未
天干地支-20,甲申
天干地支-21,乙酉
天干地支-22,丙戌
天干地支-23,丁亥
天干地支-24,戊子
天干地支-25,己丑
天干地支-26,庚寅
天干地支-27,辛卯
天干地支-28,壬辰
天干地支-29,癸巳
天干地支-30,甲午
天干地支-31,乙未
天干地支-32,丙申
天干地支-33,丁酉
天干地支-34,戊戌
天干地支-35,己亥
天干地支-36,庚子
天干地支-37,辛丑
天干地支-38,壬寅
天干地支-39,癸卯
天干地支-40,甲辰
天干地支-41,乙巳
天干地支-42,丙午
天干地支-43,丁未
天干地支-44,戊申
天干地支-45,己酉
天干地支-46,庚戌
天干地支-47,辛亥
天干地支-48,壬子
天干地支-49,癸丑
天干地支-50,甲寅
天干地支-51,乙卯
天干地支-52,丙辰
天干地支-53,丁巳
天干地支-54,戊午
天干地支-55,己未
天干地支-56,庚申
天干地支-57,辛酉
天干地支-58,壬戌
天干地支-59,癸亥